Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([275]), u'n_hidden_layers': array([5]), u'learning_rate': array([ 0.50005]), u'beta': array([ 50.05])}
('Epoch:', '0001', 'training cost=', '1545220.861371334')
('Epoch:', '0001', 'test cost=', '0.640862823')
('Epoch:', '0002', 'training cost=', '658.461463654')
('Epoch:', '0002', 'test cost=', '0.643029392')
('Epoch:', '0003', 'training cost=', '100.480095932')
('Epoch:', '0003', 'test cost=', '0.654765904')
('Epoch:', '0004', 'training cost=', '173.089279060')
('Epoch:', '0004', 'test cost=', '0.661557019')
('Epoch:', '0005', 'training cost=', '262.571790588')
('Epoch:', '0005', 'test cost=', '0.640893996')
('Epoch:', '0006', 'training cost=', '353.308746552')
('Epoch:', '0006', 'test cost=', '0.642736673')
('Epoch:', '0007', 'training cost=', '463.845822906')
('Epoch:', '0007', 'test cost=', '0.642756581')
('Epoch:', '0008', 'training cost=', '597.381289581')
('Epoch:', '0008', 'test cost=', '0.663609266')
('Epoch:', '0009', 'training cost=', '767.009353394')
('Epoch:', '0009', 'test cost=', '0.641469538')
('Epoch:', '0010', 'training cost=', '939.510656067')
('Epoch:', '0010', 'test cost=', '0.641112685')
('Epoch:', '0011', 'training cost=', '1086.916686646')
('Epoch:', '0011', 'test cost=', '0.641310036')
('Epoch:', '0012', 'training cost=', '1206.867071167')
('Epoch:', '0012', 'test cost=', '0.641825914')
('Epoch:', '0013', 'training cost=', '1311.423093750')
('Epoch:', '0013', 'test cost=', '0.644020081')
('Epoch:', '0014', 'training cost=', '1413.182677734')
('Epoch:', '0014', 'test cost=', '0.641014636')
('Epoch:', '0015', 'training cost=', '1499.754331299')
('Epoch:', '0015', 'test cost=', '0.641191483')
('Epoch:', '0016', 'training cost=', '1551.760672729')
('Epoch:', '0016', 'test cost=', '0.645717025')
('Epoch:', '0017', 'training cost=', '1574.461203613')
('Epoch:', '0017', 'test cost=', '0.640803218')
('Epoch:', '0018', 'training cost=', '1573.280075928')
('Epoch:', '0018', 'test cost=', '0.656035423')
('Epoch:', '0019', 'training cost=', '1568.950431274')
('Epoch:', '0019', 'test cost=', '0.651514232')
('Epoch:', '0020', 'training cost=', '1566.925300415')
('Epoch:', '0020', 'test cost=', '0.643081367')
('Epoch:', '0021', 'training cost=', '1565.305422607')
('Epoch:', '0021', 'test cost=', '0.667463183')
('Epoch:', '0022', 'training cost=', '1565.282660400')
('Epoch:', '0022', 'test cost=', '0.661691129')
('Epoch:', '0023', 'training cost=', '1563.858938599')
('Epoch:', '0023', 'test cost=', '0.666432440')
('Epoch:', '0024', 'training cost=', '1563.840301514')
('Epoch:', '0024', 'test cost=', '0.684997737')
('Epoch:', '0025', 'training cost=', '1565.072694214')
('Epoch:', '0025', 'test cost=', '0.646978676')
('Epoch:', '0026', 'training cost=', '1563.648213745')
('Epoch:', '0026', 'test cost=', '0.668464899')
('Epoch:', '0027', 'training cost=', '1563.318562012')
('Epoch:', '0027', 'test cost=', '0.641050100')
('Epoch:', '0028', 'training cost=', '1563.158404541')
('Epoch:', '0028', 'test cost=', '0.652622998')
('Epoch:', '0029', 'training cost=', '1563.880808105')
('Epoch:', '0029', 'test cost=', '0.642256677')
('Epoch:', '0030', 'training cost=', '1564.812368530')
('Epoch:', '0030', 'test cost=', '0.649332047')
('Epoch:', '0031', 'training cost=', '1564.096203735')
('Epoch:', '0031', 'test cost=', '0.682901919')
('Epoch:', '0032', 'training cost=', '1563.250198120')
('Epoch:', '0032', 'test cost=', '0.642034590')
('Epoch:', '0033', 'training cost=', '1563.623533325')
('Epoch:', '0033', 'test cost=', '0.649476886')
('Epoch:', '0034', 'training cost=', '1563.671651245')
('Epoch:', '0034', 'test cost=', '0.655772746')
('Epoch:', '0035', 'training cost=', '1564.143869507')
('Epoch:', '0035', 'test cost=', '0.647136629')
('Epoch:', '0036', 'training cost=', '1563.994634888')
('Epoch:', '0036', 'test cost=', '0.699869215')
('Epoch:', '0037', 'training cost=', '1563.710328613')
('Epoch:', '0037', 'test cost=', '0.687527239')
('Epoch:', '0038', 'training cost=', '1564.395605225')
('Epoch:', '0038', 'test cost=', '0.641489446')
('Epoch:', '0039', 'training cost=', '1563.906352417')
('Epoch:', '0039', 'test cost=', '0.654043436')
('Epoch:', '0040', 'training cost=', '1564.287288208')
('Epoch:', '0040', 'test cost=', '0.642544985')
('Epoch:', '0041', 'training cost=', '1563.568894409')
('Epoch:', '0041', 'test cost=', '0.640826762')
('Epoch:', '0042', 'training cost=', '1563.446671631')
('Epoch:', '0042', 'test cost=', '0.644091785')
('Epoch:', '0043', 'training cost=', '1563.004434204')
('Epoch:', '0043', 'test cost=', '0.651351094')
('Epoch:', '0044', 'training cost=', '1563.816191650')
('Epoch:', '0044', 'test cost=', '0.643940926')
('Epoch:', '0045', 'training cost=', '1563.654106812')
('Epoch:', '0045', 'test cost=', '0.642255962')
('Epoch:', '0046', 'training cost=', '1563.894286011')
('Epoch:', '0046', 'test cost=', '0.740534306')
('Epoch:', '0047', 'training cost=', '1564.217653320')
('Epoch:', '0047', 'test cost=', '0.645882964')
('Epoch:', '0048', 'training cost=', '1564.046085815')
('Epoch:', '0048', 'test cost=', '0.641782343')
('Epoch:', '0049', 'training cost=', '1564.014592773')
('Epoch:', '0049', 'test cost=', '0.646675766')
('Epoch:', '0050', 'training cost=', '1563.433833618')
('Epoch:', '0050', 'test cost=', '0.686055005')
('Epoch:', '0051', 'training cost=', '1564.150355103')
('Epoch:', '0051', 'test cost=', '0.641124249')
('Epoch:', '0052', 'training cost=', '1563.868958618')
('Epoch:', '0052', 'test cost=', '0.641890883')
('Epoch:', '0053', 'training cost=', '1564.028098389')
('Epoch:', '0053', 'test cost=', '0.647836864')
('Epoch:', '0054', 'training cost=', '1563.707173096')
('Epoch:', '0054', 'test cost=', '0.642024338')
('Epoch:', '0055', 'training cost=', '1563.213695923')
('Epoch:', '0055', 'test cost=', '0.647183001')
('Epoch:', '0056', 'training cost=', '1563.924726318')
('Epoch:', '0056', 'test cost=', '0.646399736')
('Epoch:', '0057', 'training cost=', '1564.005486328')
('Epoch:', '0057', 'test cost=', '0.679022372')
('Epoch:', '0058', 'training cost=', '1563.963549072')
('Epoch:', '0058', 'test cost=', '0.643743873')
('Epoch:', '0059', 'training cost=', '1564.074463257')
('Epoch:', '0059', 'test cost=', '0.643071830')
('Epoch:', '0060', 'training cost=', '1564.126439331')
('Epoch:', '0060', 'test cost=', '0.655138135')
('Epoch:', '0061', 'training cost=', '1563.430898315')
('Epoch:', '0061', 'test cost=', '0.643033564')
('Epoch:', '0062', 'training cost=', '1563.536318359')
('Epoch:', '0062', 'test cost=', '0.646612883')
('Epoch:', '0063', 'training cost=', '1563.473213013')
('Epoch:', '0063', 'test cost=', '0.648456275')
('Epoch:', '0064', 'training cost=', '1563.860576172')
('Epoch:', '0064', 'test cost=', '0.641278327')
('Epoch:', '0065', 'training cost=', '1563.867195679')
('Epoch:', '0065', 'test cost=', '0.640831292')
('Epoch:', '0066', 'training cost=', '1563.808774658')
('Epoch:', '0066', 'test cost=', '0.654331744')
('Epoch:', '0067', 'training cost=', '1564.222163330')
('Epoch:', '0067', 'test cost=', '0.641534448')
('Epoch:', '0068', 'training cost=', '1564.020389771')
('Epoch:', '0068', 'test cost=', '0.647428453')
('Epoch:', '0069', 'training cost=', '1564.449645508')
('Epoch:', '0069', 'test cost=', '0.659675002')
('Epoch:', '0070', 'training cost=', '1563.749566895')
('Epoch:', '0070', 'test cost=', '0.654826283')
('Epoch:', '0071', 'training cost=', '1563.583551270')
('Epoch:', '0071', 'test cost=', '0.666632235')
('Epoch:', '0072', 'training cost=', '1563.561120239')
('Epoch:', '0072', 'test cost=', '0.642410159')
('Epoch:', '0073', 'training cost=', '1564.065094116')
('Epoch:', '0073', 'test cost=', '0.645052910')
('Epoch:', '0074', 'training cost=', '1564.374376343')
('Epoch:', '0074', 'test cost=', '0.648178339')
('Epoch:', '0075', 'training cost=', '1563.755715576')
('Epoch:', '0075', 'test cost=', '0.642567754')
('Epoch:', '0076', 'training cost=', '1563.598889648')
('Epoch:', '0076', 'test cost=', '0.642540216')
('Epoch:', '0077', 'training cost=', '1563.136437256')
('Epoch:', '0077', 'test cost=', '0.653192401')
('Epoch:', '0078', 'training cost=', '1563.694277832')
('Epoch:', '0078', 'test cost=', '0.673918724')
('Epoch:', '0079', 'training cost=', '1564.354634399')
('Epoch:', '0079', 'test cost=', '0.640834451')
('Epoch:', '0080', 'training cost=', '1563.614298096')
('Epoch:', '0080', 'test cost=', '0.650602221')
('Epoch:', '0081', 'training cost=', '1563.978139771')
('Epoch:', '0081', 'test cost=', '0.646760702')
