Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([366]), u'n_hidden_layers': array([2]), u'learning_rate': array([ 0.0001]), u'beta': array([ 100.])}
('Epoch:', '0001', 'training cost=', '2052698.961000000')
('Epoch:', '0001', 'test cost=', '29.829227448')
('Epoch:', '0002', 'training cost=', '1506601.825124999')
('Epoch:', '0002', 'test cost=', '18.655675888')
('Epoch:', '0003', 'training cost=', '1085438.240312501')
('Epoch:', '0003', 'test cost=', '11.562009811')
('Epoch:', '0004', 'training cost=', '760487.160000000')
('Epoch:', '0004', 'test cost=', '6.721973419')
('Epoch:', '0005', 'training cost=', '513117.211812500')
('Epoch:', '0005', 'test cost=', '3.610976219')
('Epoch:', '0006', 'training cost=', '329598.214984375')
('Epoch:', '0006', 'test cost=', '1.904342532')
('Epoch:', '0007', 'training cost=', '198590.648031250')
('Epoch:', '0007', 'test cost=', '1.014311075')
('Epoch:', '0008', 'training cost=', '109967.568890625')
('Epoch:', '0008', 'test cost=', '0.677931905')
('Epoch:', '0009', 'training cost=', '54322.827359375')
('Epoch:', '0009', 'test cost=', '0.617493451')
('Epoch:', '0010', 'training cost=', '22870.248467773')
('Epoch:', '0010', 'test cost=', '0.633482695')
('Epoch:', '0011', 'training cost=', '7622.849498535')
('Epoch:', '0011', 'test cost=', '0.640094042')
('Epoch:', '0012', 'training cost=', '1777.823308899')
('Epoch:', '0012', 'test cost=', '0.641326308')
('Epoch:', '0013', 'training cost=', '235.461234520')
('Epoch:', '0013', 'test cost=', '0.641614199')
('Epoch:', '0014', 'training cost=', '13.008667089')
('Epoch:', '0014', 'test cost=', '0.641328096')
('Epoch:', '0015', 'training cost=', '0.788683591')
('Epoch:', '0015', 'test cost=', '0.641118884')
('Epoch:', '0016', 'training cost=', '0.642775253')
('Epoch:', '0016', 'test cost=', '0.640869617')
('Epoch:', '0017', 'training cost=', '0.643166771')
('Epoch:', '0017', 'test cost=', '0.640881538')
('Epoch:', '0018', 'training cost=', '0.643076867')
('Epoch:', '0018', 'test cost=', '0.640909433')
('Epoch:', '0019', 'training cost=', '0.642458456')
('Epoch:', '0019', 'test cost=', '0.640941858')
('Epoch:', '0020', 'training cost=', '0.641398744')
