Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([56]), u'n_hidden_layers': array([7]), u'learning_rate': array([ 1.]), u'beta': array([ 0.1])}
('Epoch:', '0001', 'training cost=', '4600107.087253671')
('Epoch:', '0001', 'test cost=', '0.703078806')
('Epoch:', '0002', 'training cost=', '26447176.250065181')
('Epoch:', '0002', 'test cost=', '0.646145999')
('Epoch:', '0003', 'training cost=', '2558390.641615488')
('Epoch:', '0003', 'test cost=', '0.652715445')
('Epoch:', '0004', 'training cost=', '138.486725445')
('Epoch:', '0004', 'test cost=', '0.644940734')
('Epoch:', '0005', 'training cost=', '0.655288690')
('Epoch:', '0005', 'test cost=', '0.701256275')
('Epoch:', '0006', 'training cost=', '107910.421853585')
('Epoch:', '0006', 'test cost=', '0.672918677')
('Epoch:', '0007', 'training cost=', '192056.028249764')
('Epoch:', '0007', 'test cost=', '0.653041005')
('Epoch:', '0008', 'training cost=', '291058.735489265')
('Epoch:', '0008', 'test cost=', '0.672581375')
('Epoch:', '0009', 'training cost=', '0.653501260')
('Epoch:', '0009', 'test cost=', '0.640991211')
('Epoch:', '0010', 'training cost=', '0.660406998')
('Epoch:', '0010', 'test cost=', '0.642823517')
('Epoch:', '0011', 'training cost=', '7.465285660')
('Epoch:', '0011', 'test cost=', '0.654557586')
('Epoch:', '0012', 'training cost=', '0.654806183')
('Epoch:', '0012', 'test cost=', '0.665727258')
('Epoch:', '0013', 'training cost=', '1.422712309')
('Epoch:', '0013', 'test cost=', '0.646440327')
('Epoch:', '0014', 'training cost=', '0.656111508')
('Epoch:', '0014', 'test cost=', '0.642838538')
('Epoch:', '0015', 'training cost=', '0.653255940')
('Epoch:', '0015', 'test cost=', '0.640887678')
('Epoch:', '0016', 'training cost=', '0.655657577')
('Epoch:', '0016', 'test cost=', '0.642229080')
('Epoch:', '0017', 'training cost=', '0.657132462')
('Epoch:', '0017', 'test cost=', '0.645994484')
('Epoch:', '0018', 'training cost=', '7.025272739')
('Epoch:', '0018', 'test cost=', '0.705030680')
('Epoch:', '0019', 'training cost=', '4.954818848')
('Epoch:', '0019', 'test cost=', '0.688003063')
('Epoch:', '0020', 'training cost=', '0.656337242')
('Epoch:', '0020', 'test cost=', '0.643259585')
('Epoch:', '0021', 'training cost=', '0.660033063')
('Epoch:', '0021', 'test cost=', '0.665739417')
('Epoch:', '0022', 'training cost=', '0.657662053')
('Epoch:', '0022', 'test cost=', '0.648799300')
('Epoch:', '0023', 'training cost=', '0.656693443')
('Epoch:', '0023', 'test cost=', '0.669405282')
('Epoch:', '0024', 'training cost=', '0.654556570')
('Epoch:', '0024', 'test cost=', '0.650521159')
('Epoch:', '0025', 'training cost=', '0.656971000')
('Epoch:', '0025', 'test cost=', '0.661585569')
('Epoch:', '0026', 'training cost=', '0.654278796')
('Epoch:', '0026', 'test cost=', '0.675569117')
('Epoch:', '0027', 'training cost=', '0.659929151')
('Epoch:', '0027', 'test cost=', '0.645746469')
('Epoch:', '0028', 'training cost=', '0.656050598')
('Epoch:', '0028', 'test cost=', '0.653244197')
('Epoch:', '0029', 'training cost=', '0.657292135')
('Epoch:', '0029', 'test cost=', '0.653954566')
('Epoch:', '0030', 'training cost=', '0.654533190')
('Epoch:', '0030', 'test cost=', '0.670963407')
('Epoch:', '0031', 'training cost=', '0.779841242')
('Epoch:', '0031', 'test cost=', '0.644874632')
('Epoch:', '0032', 'training cost=', '0.654564871')
('Epoch:', '0032', 'test cost=', '0.642431915')
('Epoch:', '0033', 'training cost=', '0.656190737')
('Epoch:', '0033', 'test cost=', '0.661793828')
('Epoch:', '0034', 'training cost=', '0.655186539')
('Epoch:', '0034', 'test cost=', '0.676508605')
('Epoch:', '0035', 'training cost=', '0.656449167')
('Epoch:', '0035', 'test cost=', '0.646536171')
('Epoch:', '0036', 'training cost=', '0.657140723')
('Epoch:', '0036', 'test cost=', '0.683743000')
('Epoch:', '0037', 'training cost=', '0.655801672')
('Epoch:', '0037', 'test cost=', '0.641352534')
('Epoch:', '0038', 'training cost=', '0.656885739')
('Epoch:', '0038', 'test cost=', '0.654208183')
('Epoch:', '0039', 'training cost=', '0.658298016')
('Epoch:', '0039', 'test cost=', '0.656670988')
('Epoch:', '0040', 'training cost=', '0.656682051')
('Epoch:', '0040', 'test cost=', '0.641114891')
('Epoch:', '0041', 'training cost=', '0.655666694')
('Epoch:', '0041', 'test cost=', '0.666963995')
('Epoch:', '0042', 'training cost=', '0.658450230')
('Epoch:', '0042', 'test cost=', '0.656607807')
('Epoch:', '0043', 'training cost=', '0.655724769')
('Epoch:', '0043', 'test cost=', '0.661057651')
('Epoch:', '0044', 'training cost=', '0.657045986')
('Epoch:', '0044', 'test cost=', '0.653502941')
('Epoch:', '0045', 'training cost=', '0.658544322')
('Epoch:', '0045', 'test cost=', '0.646979094')
('Epoch:', '0046', 'training cost=', '0.657608845')
('Epoch:', '0046', 'test cost=', '0.642851293')
('Epoch:', '0047', 'training cost=', '0.657128829')
('Epoch:', '0047', 'test cost=', '0.642044604')
('Epoch:', '0048', 'training cost=', '0.657111470')
('Epoch:', '0048', 'test cost=', '0.640809298')
('Epoch:', '0049', 'training cost=', '0.659019843')
('Epoch:', '0049', 'test cost=', '0.654492855')
('Epoch:', '0050', 'training cost=', '139435.313072888')
('Epoch:', '0050', 'test cost=', '0.676334620')
('Epoch:', '0051', 'training cost=', '0.661065874')
('Epoch:', '0051', 'test cost=', '0.642273962')
('Epoch:', '0052', 'training cost=', '616480.014841354')
('Epoch:', '0052', 'test cost=', '0.653142571')
('Epoch:', '0053', 'training cost=', '0.654877557')
('Epoch:', '0053', 'test cost=', '0.647249758')
('Epoch:', '0054', 'training cost=', '0.651584836')
('Epoch:', '0054', 'test cost=', '0.651380301')
('Epoch:', '0055', 'training cost=', '0.664392970')
('Epoch:', '0055', 'test cost=', '0.645968199')
('Epoch:', '0056', 'training cost=', '0.652080903')
('Epoch:', '0056', 'test cost=', '0.673177123')
('Epoch:', '0057', 'training cost=', '0.656909990')
('Epoch:', '0057', 'test cost=', '0.656487823')
('Epoch:', '0058', 'training cost=', '0.655643522')
('Epoch:', '0058', 'test cost=', '0.645137429')
('Epoch:', '0059', 'training cost=', '0.656908549')
('Epoch:', '0059', 'test cost=', '0.641023040')
('Epoch:', '0060', 'training cost=', '69267.110897792')
('Epoch:', '0060', 'test cost=', '0.662576377')
('Epoch:', '0061', 'training cost=', '0.658418889')
('Epoch:', '0061', 'test cost=', '0.647867084')
('Epoch:', '0062', 'training cost=', '0.658586293')
('Epoch:', '0062', 'test cost=', '0.645523727')
('Epoch:', '0063', 'training cost=', '0.654893005')
('Epoch:', '0063', 'test cost=', '0.641182005')
('Epoch:', '0064', 'training cost=', '0.658375098')
('Epoch:', '0064', 'test cost=', '0.648118675')
('Epoch:', '0065', 'training cost=', '0.654890661')
('Epoch:', '0065', 'test cost=', '0.641836345')
('Epoch:', '0066', 'training cost=', '0.655345090')
('Epoch:', '0066', 'test cost=', '0.654764533')
('Epoch:', '0067', 'training cost=', '0.657131893')
('Epoch:', '0067', 'test cost=', '0.642088890')
('Epoch:', '0068', 'training cost=', '0.654382308')
('Epoch:', '0068', 'test cost=', '0.728629529')
('Epoch:', '0069', 'training cost=', '2552304.008073029')
('Epoch:', '0069', 'test cost=', '0.644600153')
('Epoch:', '0070', 'training cost=', '0.655298371')
('Epoch:', '0070', 'test cost=', '0.643325746')
('Epoch:', '0071', 'training cost=', '0.654976395')
('Epoch:', '0071', 'test cost=', '0.699561656')
('Epoch:', '0072', 'training cost=', '129104097.228779376')
('Epoch:', '0072', 'test cost=', '0.729044020')
('Epoch:', '0073', 'training cost=', '0.657229870')
('Epoch:', '0073', 'test cost=', '0.646897554')
('Epoch:', '0074', 'training cost=', '275046.242658424')
('Epoch:', '0074', 'test cost=', '0.702415526')
('Epoch:', '0075', 'training cost=', '10283.858417726')
('Epoch:', '0075', 'test cost=', '0.641052544')
('Epoch:', '0076', 'training cost=', '36.762824962')
('Epoch:', '0076', 'test cost=', '0.701114535')
('Epoch:', '0077', 'training cost=', '134878.888589658')
('Epoch:', '0077', 'test cost=', '0.640822232')
('Epoch:', '0078', 'training cost=', '0.659108615')
('Epoch:', '0078', 'test cost=', '0.642483473')
('Epoch:', '0079', 'training cost=', '0.661141525')
('Epoch:', '0079', 'test cost=', '0.653138161')
('Epoch:', '0080', 'training cost=', '0.657301255')
('Epoch:', '0080', 'test cost=', '0.645215511')
('Epoch:', '0081', 'training cost=', '0.658386504')
('Epoch:', '0081', 'test cost=', '0.648079813')
('Epoch:', '0082', 'training cost=', '23052.407764927')
('Epoch:', '0082', 'test cost=', '0.654299796')
('Epoch:', '0083', 'training cost=', '0.656077682')
('Epoch:', '0083', 'test cost=', '0.640927017')
('Epoch:', '0084', 'training cost=', '0.655003085')
('Epoch:', '0084', 'test cost=', '0.667513490')
('Epoch:', '0085', 'training cost=', '0.654854382')
('Epoch:', '0085', 'test cost=', '0.644853890')
('Epoch:', '0086', 'training cost=', '0.656584193')
('Epoch:', '0086', 'test cost=', '0.681423366')
('Epoch:', '0087', 'training cost=', '0.656217388')
('Epoch:', '0087', 'test cost=', '0.642495871')
('Epoch:', '0088', 'training cost=', '0.654140210')
('Epoch:', '0088', 'test cost=', '0.665116429')
