Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([500]), u'n_hidden_layers': array([8]), u'learning_rate': array([ 0.05953103]), u'beta': array([ 100.])}
('Epoch:', '0001', 'training cost=', '44004776.112000071')
('Epoch:', '0001', 'test cost=', '0.645677805')
('Epoch:', '0002', 'training cost=', '16825221.101000018')
('Epoch:', '0002', 'test cost=', '0.788014650')
('Epoch:', '0003', 'training cost=', '8006052.028000005')
('Epoch:', '0003', 'test cost=', '0.817789912')
('Epoch:', '0004', 'training cost=', '3334583.096875000')
('Epoch:', '0004', 'test cost=', '0.666222453')
('Epoch:', '0005', 'training cost=', '1208559.356062500')
('Epoch:', '0005', 'test cost=', '0.641031146')
('Epoch:', '0006', 'training cost=', '381653.672671875')
('Epoch:', '0006', 'test cost=', '0.642052710')
('Epoch:', '0007', 'training cost=', '106050.080410156')
('Epoch:', '0007', 'test cost=', '0.643059611')
('Epoch:', '0008', 'training cost=', '27155.545171875')
('Epoch:', '0008', 'test cost=', '0.641843140')
('Epoch:', '0009', 'training cost=', '7602.736347168')
('Epoch:', '0009', 'test cost=', '0.641306460')
('Epoch:', '0010', 'training cost=', '2842.402853516')
('Epoch:', '0010', 'test cost=', '0.640936613')
('Epoch:', '0011', 'training cost=', '1216.694649780')
('Epoch:', '0011', 'test cost=', '0.640862882')
('Epoch:', '0012', 'training cost=', '443.825144714')
('Epoch:', '0012', 'test cost=', '0.640863299')
('Epoch:', '0013', 'training cost=', '113.521959091')
('Epoch:', '0013', 'test cost=', '0.642676592')
('Epoch:', '0014', 'training cost=', '17.966674879')
('Epoch:', '0014', 'test cost=', '0.640982389')
('Epoch:', '0015', 'training cost=', '2.499026106')
('Epoch:', '0015', 'test cost=', '0.641087174')
('Epoch:', '0016', 'training cost=', '1.410989195')
('Epoch:', '0016', 'test cost=', '0.640873313')
('Epoch:', '0017', 'training cost=', '1.471866937')
('Epoch:', '0017', 'test cost=', '0.642636299')
('Epoch:', '0018', 'training cost=', '1.627136625')
('Epoch:', '0018', 'test cost=', '0.640889943')
('Epoch:', '0019', 'training cost=', '1.868441694')
('Epoch:', '0019', 'test cost=', '0.641342700')
('Epoch:', '0020', 'training cost=', '2.283421853')
('Epoch:', '0020', 'test cost=', '0.641007304')
